moqui.basic.LocalizedMessage,demo
zh,Loans Receivable,应收贷款
zh,Local Driver License,本地驾驶执照
zh,Local Passport,当地护照
zh,Local Shipping Gateway,本地运输网关
zh,Local Tax Gateway,地税网关
zh,Login Template - Client,登录模板 - 客户端
zh,Logo Image,形象标识
zh,Long Term Assets,长期资产
zh,Long Term Liabilities,长期负债
zh,Long Term Liability,长期责任
zh,Loss of Pay,工资损失
zh,Lost,丢失
zh,Lost in Transit,运输途中丢失
zh,Lowest Unit Cost,最低单位成本
zh,Lubricate Chassis,润滑底盘
zh,MACRS GDS 5 Year,MACRS GDS 5 年
zh,MACRS GDS 7 Year,MACRS GDS 7 年
zh,Made Up,捏造
zh,Mailing List Sign-up,邮寄名单注册
zh,Main Supplier,主要供应商
zh,Maintenance,维护
zh,Maintenance/Repair Equipment,保养/维修设备
zh,Maintenance/Repair Other,保养/维修 其他
zh,Maintenance/Repair Real Estate,维护/修理房地产
zh,Maintenance/Repair Vehicle,保养/维修车辆
zh,Management,管理
zh,Management Structure,管理架构
zh,Manager,经理
zh,Mandatory Field Error,必填字段错误
zh,Manlift,载人电梯
zh,"Mantle Content Large Root Loc - binary, etc files",“地幔内容大根位置 - 二进制等文件”
zh,Mantle Content Root Loc,地幔内容根位置
zh,Manual,手动的
zh,Manual Pull (through API),手动拉取（通过 API）
zh,Manual Replenish,手动补货
zh,Manual Transactions Journal,手工交易日志
zh,Manually Cancelled,手动取消
zh,Manufacturer Serial Number,制造商序列号
zh,Manufacturing,制造业
zh,Manufacturing Bill of Materials,制造物料清单
zh,Manufacturing Equipment,制造设备
zh,Marble ERP App,大理石 ERP 应用程序
zh,Market Segment,细分市场
zh,Marketing,营销
zh,Marketing Package Adjustment,营销套餐调整
zh,Married,已婚
zh,Married File Joint,已婚档案联合
zh,Married File Joint 1 Income,已婚档案联合 1 收入
zh,Married File Joint 2+ Incomes,已婚档案联合 2+ 收入
zh,Married File Separate,已婚档案分开
zh,Master Card,万事达卡
zh,Materials,材料
zh,Matricula Consular ID,Matricula 领事 ID
zh,Maximum Price,最高价格
zh,Media Access Control (MAC) Address,媒体访问控制 (MAC) 地址
zh,Medical,医疗的
zh,Medical Record,医疗记录
zh,Medical Taxable,医疗应税
zh,Medical and Health Care,医疗保健
zh,Medicare Employee,医疗保险员工
zh,Medicare Employer,医疗保险雇主
zh,Meeting,会议
zh,Merchandise,商品
zh,Merchant Account Settlement,商户结算
zh,Merchant Mariner Card,商船海员卡
zh,Merchant initiated debit,商家发起的扣款
zh,Meta-Description,元描述
zh,Meta-Keywords,元关键字
zh,Mfg Model Number,制造型号
zh,Milestone,里程碑
zh,Military Dependent ID,军人家属身份证
zh,Military ID,军人身份证
zh,Min Wage Adj,最低工资调整
zh,Minimum Price,最低价格
zh,Minority,少数民族
zh,Mis-shipped Item Ordered (+),订购的错误发货的商品 (+)
zh,Mis-shipped Item Shipped (-),错误运送的物品运送 (-)
zh,Miscellaneous Charge,杂费
zh,Miscellaneous Deduction,杂项扣除
zh,Miscellaneous Expense,杂费
zh,Misrouted Dishonored Return,误入歧途 耻辱归来
zh,Misrouted Notification of Change,错误路由的变更通知
zh,Misrouted Return,错误的返回
zh,Mix and Match,连连看
zh,Mobile,移动的
zh,Model Year,车型年份
zh,Monday,周一
zh,Money,钱
zh,Money Market,货币市场
zh,Money Order,汇票
zh,Monitor,监视器
zh,Moqui Administrators,Moqui 管理员
zh,Morgue,停尸房
zh,Motor (Common Carrier),电机（公共载体）
zh,Move,移动
zh,Municipality,市政府
zh,My Account App,我的帐户应用程序
zh,My Part Finished,我的部分完成
zh,NACHA,纳卡
zh,NAICS Code,北美证券交易委员会代码
zh,NPT - RRP,不扩散条约 - RRP
zh,NPT - STD,不扩散条约 - 性病
zh,Native Tribal Document,土著部落文件
zh,Need Support or Help,需要支持或帮助
zh,Net Assets,净资产
zh,Net Equity,净资产
zh,Net Income,净利
zh,Net Income Period Closing,净收入期末
zh,Net Operating Income,净营业收入
zh,Net Revenue,净收入
zh,Net Weight,净重
zh,New Data,新数据
zh,New Feature,新功能
zh,New Products (One),新产品（一）
zh,"New Version, Replacement",“新版本，替换”
zh,Newsletter,通讯
zh,Newspaper,报纸
zh,Next Day Priority,次日优先
zh,Next Day Standard,次日标准
zh,No,不
zh,No Account/Unable to Locate Accountt,没有帐户/无法找到帐户
zh,No Accounting Preference,无会计偏好
zh,No Acquire Cost,无获取成本
zh,No Auth,无认证
zh,No Auto Reserve,没有自动保留
zh,No Charge,免费
zh,No Errors Found,未发现错误
zh,No Replenish,不补货
zh,No Reservation,无需预订
zh,No Transaction Reason,无交易原因
zh,Non-Cash Expense,非现金费用
zh,Non-Cash Income,非现金收入
zh,Non-Compete,竞业禁止
zh,Non-Employee Compensation,非雇员补偿
zh,Non-Participant in IAT Program,未参加 IAT 计划
zh,Non-Posting,非张贴
zh,Non-Returnable Sales Item,不可退货的销售项目
zh,Non-Transaction Account,非交易账户
zh,Non-operating Expense,营业外费用
zh,Non-operating Income,营业外收入
zh,None,没有任何
zh,Nonproductive Earnings,非生产性收益
zh,North (0°),北 (0°)
zh,North Northeast (22.5°),东北东北 (22.5°)
zh,North Northwest (337.5°),西北西北 (337.5°)
zh,Northeast (45°),东北 (45°)
zh,Northwest (315°),西北 (315°)
zh,Not Allowed,不允许
zh,Not Applicable,不适用
zh,Not Ordered,未订购
zh,Not Yet Valid,尚未生效
zh,Not to Specification,不符合规格
zh,Note,笔记
zh,Notification,通知
zh,Number of Employees,在职员工人数
zh,OAGIS,OAGIS
zh,OFX/QFX,OFX/QFX
zh,Obligation,义务
zh,Occupational Privilege Employer,职业特权雇主
zh,Office,办公室
zh,Office Postage,办公室邮资
zh,Office Supplies,办公用品
zh,Office and Supplies,办公用品
zh,Oil Change,换油
zh,On Order Approved,订单批准
zh,On Order Placed,下订单时
zh,On-site,现场
zh,Online Access,在线访问
zh,Operating,操作
zh,Operating Expense,运营开支
zh,Order (Sales) Default Store ID,订单（销售）默认商店 ID
zh,Order Approve Validate,订单批准验证
zh,Order Approve Warn Address Missing (false to disable),订单批准警告地址丢失（false 禁用）
zh,Order Approve Warn Address not Valid (false to disable),订单批准警告地址无效（false 禁用）
zh,Order Approve Warn Billing and Shipping Addresses Differ (false to disable),订单批准警告帐单和送货地址不同（假禁用）
zh,Order Approve Warn Contact Mech Grey/Blacklisted (false to disable),Order Approve Warn Contact Mech Grey/Blacklisted (false to disable)
zh,Order Approve Warn Inventory Not Available (false to disable),订单批准警告库存不可用（false 禁用）
zh,"Order Approve Warn Large Order - Total Above (default 0, 0 to disable)",“订单批准警告大订单 - 总计高于（默认为 0，0 禁用）”
zh,"Order Approve Warn Large Web Order - Total Above (default 0, 0 to disable)",“订单批准警告大型网络订单 - 总计高于（默认为 0，0 禁用）”
zh,Order Approve Warn New Customer (false to disable),订单批准警告新客户（false 禁用）
zh,Order Approve Warn Payment Method Name Differs (false to disable),订单批准警告付款方式名称不同（假禁用）
zh,"Order Approve Warn Percent Available Inventory (default 20, 0 to disable)",“订单批准警告可用库存百分比（默认为 20，0 禁用）”
zh,Order Approve Warn Price Min/Max (false to disable),订单批准警告价格最小/最大（false 禁用）
zh,Order Approve Warn Similar within 24hrs (false to disable),订单批准在 24 小时内发出类似警告（false 禁用）
zh,"Order Approve Warn Std Devs Over Avg Product Qty (default 3.0, 0 to disable)",“订单批准警告标准开发人员超过平均产品数量（默认 3.0，0 禁用）”
zh,"Order Approve Warn Std Devs Over Avg Total (default 3.0, 0 to disable)",“订单批准警告 Std Devs Over Avg Total（默认 3.0，0 禁用）”
zh,Order Approved,订单已获批准
zh,Order Approved Reasons,订单批准原因
zh,Order Change,订单变更
zh,Order Complete,订单完成
zh,Order Detail Template - Client,订单详细信息模板 - 客户端
zh,Order History Template - Client,订单历史模板 - 客户端
zh,Order Payment Preference,订单支付偏好
zh,Order Placed,订单已下
zh,Order Quote Proposed,订单报价建议
zh,Order Quote Requested,请求的订单报价
zh,Order Rejected Reasons,订单被拒绝原因
zh,Order Roles,订单角色
zh,Organization,组织
zh,Organization Management,组织管理
zh,Organization Member,组织成员
zh,Organization Roles,组织角色
zh,Organization Rollup (Child),组织汇总（子）
zh,Origin,起源
zh,Other,其他
zh,Other Assets,其他资产
zh,Other Cost of Sales,其他销售成本
zh,Other Expense,其他费用
zh,Other Income,其他的收入
zh,Other Obligation,其他义务
zh,Other Revenue,其他收入
zh,Other Shipping (Non-Inventory),其他运输（非库存）
zh,Other Type (no detail record),其他类型（无详细记录）
zh,Outgoing Email,外发电子邮件
zh,Outgoing Payment,付款
zh,Outgoing Payment Application,付款申请
zh,Outgoing Shipment,发货
zh,Outgoing/Receivable/Sales Items,发货/应收/销售项目
zh,Over Shipped,超载
zh,Overtime,随着时间的推移
zh,Overtime Premium,加班费
zh,Own Home,自己的家
zh,Owner's Equity,所有者权益
zh,Owners Equity,所有者权益
zh,Ownership,所有权
zh,POP Commerce Theme Type,POP Commerce 主题类型
zh,POPC ERP App,POPC ERP 应用程序
zh,POS,销售点
zh,PTO - Holiday,PTO - 假期
zh,PTO - Other,取力器 - 其他
zh,PTO - Sick,PTO - 生病
zh,PTO - Vacation,PTO - 假期
zh,PTO Hourly,每小时 PTO
zh,PTO Request,取力器请求
zh,PTO Request Approved,PTO 请求已获批准
zh,PTO Request Denied,PTO 请求被拒绝
zh,PTO Request Under Review,PTO 请求正在审查中
zh,PTO Salary,PTO 薪水
zh,Package Label,包装标签
zh,Packaging Component,包装组件
zh,Packaging For,包装为
zh,Packaging Type,包装类型
zh,Packing Documents,包装文件
zh,Paid Break,带薪休假
zh,Paid Break RRP,带薪休息 RRP
zh,Paid Break STD,带薪休息性病
zh,Paid Non-productive Time,带薪非生产时间
zh,Pallet EUR3 1.0x1.2m,托盘 EUR3 1.0x1.2m
zh,Pallet ISO0/EUR6 0.8x0.6m,托盘 ISO0/EUR6 0.8x0.6m
zh,Pallet ISO1/EUR1 0.8x1.2m,托盘 ISO1/EUR1 0.8x1.2m
zh,Pallet ISO2/EUR2 1.2x1.0m,托盘 ISO2/EUR2 1.2x1.0m
zh,Pallet US 40x40in,托盘美国 40x40 英寸
zh,Pallet US 40x48in,托盘美国 40x48 英寸
zh,Pallet US 42x42in,托盘美国 42x42 英寸
zh,Pallet US 48x40in,托盘美国 48x40 英寸
zh,Pallet US 48x48in,托盘美国 48x48 英寸
zh,Part-time Employed,兼职工作
zh,Partner,伙伴
zh,Partner Managed,合作伙伴管理
zh,Party,聚会
zh,Passenger Vehicle,乘用车
zh,Passport Number,护照号
zh,Password Reset,重设密码
zh,Pay Period,薪水期
zh,Pay Period Adjustment - Overpay,支付期调整 - 多付
zh,Pay Period Adjustment - Pay,支付期调整 - 支付
zh,Pay Rate Modifier Type,工资率修饰符类型
zh,PayPal Account,贝宝账户
zh,Payable from Inventory Transferred In,从存货转入应付
zh,Payment,支付
zh,Payment (discounted if paid within specified days),付款（在指定日期内付款可享受折扣）
zh,Payment (due on specified day of current month),付款（在当月的指定日期到期）
zh,Payment (due on specified day of next month),付款（在下个月的指定日期到期）
zh,Payment (net days),付款（净天数）
zh,Payment Adjustment,付款调整
zh,Payment Application,支付申请
zh,Payment Document,付款文件
zh,Payment In/Out Application,付款输入/输出应用程序
zh,Payment Not Posted,付款未过帐
zh,Payment Not Received,未收到付款
zh,Payment Retry,付款重试
zh,Payment Signature Primary,付款签名主要
zh,Payment Signature Secondary,付款签名二级
zh,Payment Stopped,付款已停止
zh,Payment Term Types,付款期限类型
zh,"Payment net days, part 1",“付款净天数，第 1 部分”
zh,"Payment net days, part 2",“付款净天数，第 2 部分”
zh,"Payment net days, part 3",“付款净天数，第 3 部分”
zh,Payroll,工资单
zh,Payroll Adjustment Calculation,工资调整计算
zh,Payroll Deduction,工资扣除
zh,Payroll Employee,工资员工
zh,Payroll Employee Payment,工资员工付款
zh,Payroll Expense,工资支出
zh,Payroll Income,工资收入
zh,Payroll Invoice,工资单
zh,Payroll Other,工资单 其他
zh,Payroll Other Payment,工资单其他付款
zh,Payroll Taxes,工资税
zh,Penalty For Collection Agency,对催收机构的处罚
zh,Period Closing Adjustment,期末调整
zh,Permanent Resident,永久居民
zh,Permanent Resident Card,永久居民卡
zh,Permissible Return Entry,允许返回条目
zh,Permissible Return Entry Not Accepted/Return Not Requested by ODFI,ODFI 不接受允许的退货条目/不要求退货
zh,Person,人
zh,Person Roles,人员角色
zh,Personal,个人的
zh,Personal Check,私人支票
zh,Personal Referral,个人推荐
zh,Phone,电话
zh,Phone Call,电话
zh,Phone Number,电话号码
zh,Pick,挑选
zh,Pick Assembly,拾取装配
zh,Picking Documents,挑选文件
zh,Piece,片
zh,Piece Min Wage Adjustment,件最低工资调整
zh,Piece Or Hourly Earnings,计件或每小时收入
zh,Piece Plus Hourly Earnings,件加小时收入
zh,Piece Rate Type,计件价格类型
zh,Piece or Hourly,件或每小时
zh,Piece plus Hourly,件加每小时
zh,Piecework Earnings,计件收益
zh,Placeholder,占位符
zh,Plain Text,纯文本
zh,Plan,计划
zh,Plant,植物
zh,Point of sale debit or credit,销售点借记或贷记
zh,Positive Pay File,正支付文件
zh,Post Sale Survey,售后调查
zh,Postal Address,邮寄地址
zh,Postal Code,邮政编码
zh,Postal Mail,邮政邮件
zh,Power,力量
zh,Pre Payment - Expense,预付款 - 费用
zh,Pre Payment - Inventory,预付款 - 库存
zh,Preferred Freight,首选运费
zh,Prepaid Expense,预付费用
zh,Prepaid Expenses,预付的费用
zh,Prepaid Inventory,预付库存
zh,Pressure,压力
zh,Price Detail Text,价格详情文本
zh,Price Sheet,价格表
zh,Pricing,价钱
zh,Pricing Group,定价组
zh,Primary Image,主图像
zh,Private Tenant,私人房客
zh,Produce,生产
zh,Product,产品
zh,Product Detail URL GString,产品详细信息 URL GString
zh,Product Development,产品开发
zh,Product Fulfillment,产品履行
zh,Product Image Location,产品图片位置
zh,Product Image URL GString,产品图片网址 GString
zh,Product Items,产品项目
zh,Product Manufactured As,产品制造为
zh,Product Name,产品名称
zh,Product Price Modify,产品价格修改
zh,Product Quality,产品质量
zh,Product Store ID From Hostname,来自主机名的产品商店 ID
zh,Product Store Promotion,产品商店促销
zh,Product Template - Client,产品模板 - 客户端
zh,Product Template - Server,产品模板 - 服务器
zh,Product Variant,产品变体
zh,Production Line,生产线
zh,Production Management,生产管理
zh,Production Run,生产运行
zh,Professional Services,专业的服务
zh,Profit Loss,利润损失
zh,Programming,编程
zh,Programming Software,编程软件
zh,Project,项目
zh,Project Client,项目客户
zh,Project Update,项目更新
zh,Project Vendor,项目供应商
zh,Promotional Discounts,促销折扣
zh,Promotional Materials,宣传资料
zh,Promotional Price,促销价
zh,Promotions (One),促销（一）
zh,Prompt Payment Discount,即时付款折扣
zh,Proposal,提议
zh,Province,省
zh,Public Relations,公共关系
zh,Public Tenant,公共租户
zh,Public Web Site/etc,公共网站/等
zh,Puller,拉拔器
zh,Purchase,购买
zh,Purchase Allow (One),购买许可（一）
zh,Purchase Exclude,购买排除
zh,Purchase Include,购买包含
zh,Purchase Invoice,采购发票
zh,Purchase Management,采购管理
zh,Purchase Return Shipment,购买退货货件
zh,Purchase Shipment,购买发货
zh,Purchase/Initial,购买/初始
zh,Purchased Data,购买的数据
zh,Purchasing,购买
zh,QZ Active Label Printer Name,QZ 有源标签打印机名称
zh,QZ Active Main Printer Name,QZ Active 主打印机名称
zh,QZ Print Enabled (true/false),启用 QZ 打印（真/假）
zh,Quarantine,隔离
zh,Quick Add,快速添加
zh,Quick Add (Many),快速添加（许多）
zh,Quick Add Internal (Many),快速添加内部（许多）
zh,Quote,引用
zh,RDFI Non-Settlement,RDFI 非结算
zh,RDFI Not Participant in Check Truncation Program,RDFI 未参与检查截断计划
zh,REST API Location,REST API 位置
zh,REST API Path,REST API 路径
zh,Raw Material,原料
zh,Re-Fuel,加油
zh,Real Estate,房地产
zh,Real World,真实世界
zh,Real-time Service Push,实时服务推送
zh,Receipt,收据
zh,Receivable from Inventory Transferred Out,转出存货应收账款
zh,Receiving,接收
zh,Recurring Charge,经常性费用
zh,Reel Stand,卷轴支架
zh,Refrigerant Check/Recharge,制冷剂检查/充电
zh,Refund,退款
zh,Refurbished Equivalent,翻新等价物
zh,Region,地区
zh,Region of a Larger Geo,较大地理区域
zh,Registration,登记
zh,Registration Confirmation,注册确认
zh,Regular,常规的
zh,Reimbursement,报销
zh,Rejected,拒绝了
zh,Related,有关的
zh,Relates To,涉及到
zh,Release,释放
zh,Remote Systems,远程系统
zh,Rental,出租
zh,Rental Deposit,租金押金
zh,Rental Equipment Asset,租赁设备资产
zh,Rental Sales Return Shipment,租赁销售退货装运
zh,Rental Sales Shipment,出租销售装运
zh,Repair Service,维修服务
zh,Repeating payment/standing order,重复付款/长期订单
zh,Replace,代替
zh,Replacement,替代品
zh,Replenish-level,补货级别
zh,Replenishment,补货
zh,Representative,代表
zh,Representative Payee Deceased or Unable to Continue in That Capacity,代表收款人已故或无法继续担任该身份
zh,Request,要求
zh,Required,必需的
zh,Requirement,要求
zh,Requirements Gathering,需求收集
zh,Requires,需要
zh,Research,研究
zh,Reset Password,重设密码
zh,Reset Password Template - Client,重置密码模板 - 客户端
zh,Resident Citizen ID Card,居民身份证
zh,Resident Regular,常住居民
zh,Resigned,已辞职
zh,Resource,资源
zh,Resource Management,资源管理
zh,Restricted (private access),受限（私人访问）
zh,Retail Store,零售店
zh,Retained Earnings,留存收益
zh,Retired,退休
zh,Retirement,退休
zh,Return,返回
zh,Return Accepted,接受退货
zh,Return Cancelled,退货取消
zh,Return Completed,退货完成
zh,Return Inventory,退货库存
zh,Return Merchandise,退货商品
zh,Return Not a Duplicate,返回不重复
zh,Return Refund,退货退款
zh,Return of Capital,资本回报
zh,Return of ENR Entry by Federal Government Agency,联邦政府机构返回 ENR 条目
zh,Return of Improper Credit Entry,返还不正确的信用分录
zh,Return of Improper Debit Entry,退回不正确的借记分录
zh,Return of XCK Entry,XCK 条目的返回
zh,Return per ODFI's Request,根据 ODFI 的请求返回
zh,Returned,回来
zh,Revenue,收入
zh,Revision,修订
zh,Room,房间
zh,Root Template - Server,根模板 - 服务器
zh,Roth 401k Employee,罗斯 401k 员工
zh,Roth IRA Employee,罗斯爱尔兰共和军雇员
zh,Roth IRA Employer,罗斯爱尔兰共和军雇主
zh,Routing,路由
zh,Routing Component,路由组件
zh,Routing Number Check Digit Error,路由号码校验位错误
zh,Routing Number Not From Original Entry Detail Record,路由号码不是来自原始条目详细记录
zh,Routing Number/Check Digit Error,路由号码/校验位错误
zh,Routing Task,路由任务
zh,Royalties,版税
zh,Royalties Expense - Non-COGS,版税费用 - 非 COGS
zh,SIC Code,代码
zh,SKU,单品
zh,Salary,薪水
zh,Sales,销售量
zh,Sales Affiliate,销售伙伴
zh,Sales Compensation,销售报酬
zh,Sales Follow-Up,销售跟进
zh,Sales Inquiry,销售查询
zh,Sales Inventory,销售库存
zh,Sales Invoice,销售发票
zh,Sales Management,销售管理
zh,Sales Optional Info,销售可选信息
zh,Sales Region,销售区域
zh,Sales Required Info,销售所需信息
zh,Sales Return Shipment,销售退货装运
zh,Sales Revenue,销售额
zh,Sales Segment,销售部门
zh,Sales Shipment,销售发货
zh,Sales Tax,销售税
zh,Sales Travel,销售旅行
zh,Sales and Marketing Expense,销售和营销费用
zh,Sales/Purchase,销售/采购
zh,Sample,样本
zh,Sample (Giveaway),样品（赠品）
zh,Saturday,周六
zh,Savings,储蓄
zh,Savings/Checking Selection is Wrong,储蓄/检查选择错误
zh,Scenario,设想
zh,School District Employer,学区雇主
zh,School ID Card,学校身份证
zh,School Record,学校记录
zh,Screen,屏幕
zh,Screen Content,画面内容
zh,Screen Render,屏幕渲染
zh,Screen Transition,画面过渡
zh,Script URL,脚本网址
zh,Search,搜索
zh,Search Template - Client,搜索模板 - 客户端
zh,Second Day,第二天
zh,Section,部分
zh,Secured Loan,抵押贷款
zh,Selectable,可选择
zh,Self Employed,自雇人士
zh,Self Generated,自产
zh,Seminar,研讨会
zh,Service,服务
zh,Service Body,服务机构
zh,Service Product,服务产品
zh,Service Region,服务区域
zh,Service charge,服务费
zh,Services Accounting,服务会计
zh,Services Labor,服务劳工
zh,Services Legal,法律服务
zh,Services Revenue,服务收入
zh,Settlement Term - Generate Order Payments,结算期限 - 生成订单付款
zh,Shift - Evening,轮班 - 晚上
zh,Shift - Holiday,轮班 - 假期
zh,Shift - Night,Shift - 夜间
zh,Shift - Weekend,轮班 - 周末
zh,Shift Premium Earnings,转移保费收入
zh,Ship Label From Company,公司发货标签
zh,Ship Label From Name,从名称发货标签
zh,Ship Restrict Carriers (true/false),船舶限制承运人（真/假）
zh,Shipment Default Gateway Config ID,货件默认网关配置 ID
zh,Shipment Delivered,装运交付
zh,Shipment Documents,装运文件
zh,Shipment Exclude,发货排除
zh,Shipment Include,装运包括
zh,Shipment Pick/Load/Ship,提货/装载/发货
zh,Shipment Receive,收货
zh,Shipment Roles,货件角色
zh,Shipment Shipped,发货发货
zh,Shipments,出货量
zh,Shipping Label Cost Markup Percent,运输标签成本加价百分比
zh,Shipping Order Charge Markup Percent,运输订单费用加价百分比
zh,Shipping and Handling,运费和手续费
zh,Short Sales Pitch,短期推销
zh,Shortcut Icon URL,快捷方式图标 URL
zh,Shrinkage,收缩率
zh,Sick Hourly,每小时生病
zh,Sick Salary,病假工资
zh,Signature Primary,签名小学
zh,Signature Secondary,签名中学
zh,Simple IRA Employee,简单的 IRA 员工
zh,Simple IRA Employer,简单的 IRA 雇主
zh,Single,单身的
zh,Single Lot Unavailable,单批不可用
zh,Single Use Code,一次性使用的代码
zh,Single or Married File Separate,单身或已婚文件分开
zh,Size,尺寸
zh,Sketch,草图
zh,Slotting Fees,进场费
zh,Social Security Card,社会保障卡
zh,Social Security Employee,社会保障雇员
zh,Social Security Employer,社会保障雇主
zh,Social Security Number,社会安全号码
zh,Social Taxable,社会应税
zh,Software,软件
zh,Source Document Presented for Payment,为付款而提交的原始单据
zh,South (180°),南 (180°)
zh,South Southeast (157.5°),东南东南 (157.5°)
zh,South Southwest (202.5°),西南西南 (202.5°)
zh,Southeast (135°),东南 (135°)
zh,Southwest (225°),西南 (225°)
zh,Special Day Off,特别休息日
zh,Special Instructions,特殊说明
zh,Special Promo Price,特别促销价
zh,Specification,规格
zh,Spouse,伴侣
zh,Staging,分期
zh,Standard,标准
zh,"Standard (faster, may have gaps, per system)",“标准（更快，可能有差距，每个系统）”
zh,State,状态
zh,State Disability Insurance Employer,国家残疾保险雇主
zh,State Law Affecting RCK Acceptance,影响 RCK 验收的州法律
zh,State Miscellaneous Employer,国家杂项雇主
zh,State Pension Employer,国家养老金雇主
zh,State Unemployment Insurance Employer,国家失业保险雇主
zh,State Workers' Comp Insurance Employer,国家工人补偿保险雇主
zh,State/Province,州/省
zh,Stolen,被盗
zh,Stop Payment on Item Related to RCK Entry,停止支付与 RCK 条目相关的项目
zh,Stop Payment on Source Document,停止对源单据付款
zh,Store CIM Profile,存储 CIM 配置文件
zh,Story,故事
zh,Straight Line,直线
zh,Straight Time Gross,直线时间总收入
zh,Student,学生
zh,Style,风格
zh,Style Sheet (CSS) URL,样式表 (CSS) URL
zh,Sub-Agreement,子协议
zh,Sub-contracting,分包
zh,Subscribe Notification,订阅通知
zh,Success,成功
zh,Sum of Years Digits,年数总和
zh,SunTrust CPR,SunTrust 心肺复苏术
zh,Sunday,星期日
zh,Supplier,供应商
zh,Supplier - General,供应商 - 一般
zh,Supplier Credit Memo,供应商贷项凭证
zh,Supplier Deposits,供应商存款
zh,Supplier Return Invoice,供应商退货发票
zh,Supplies,补给品
zh,Support,支持
zh,Supporting Document,证明文件
zh,Supporting Media,支持媒体
zh,Surcharge,附加费
zh,Surtax Employer,附加税雇主
zh,Survey,民意调查
zh,Symptom,症状
zh,System,系统
zh,System Design,系统设计
zh,System Software,系统软件
zh,Tablet,药片
zh,Tanker,油船
zh,Task,任务
zh,Tax,税
zh,"Tax - City, Borough, and Township Withholding",“税收 - 市、区和乡镇预扣税”
zh,Tax - County Income Withholding,税收 - 县收入预扣
zh,Tax - Federal Pension Employee,税收 - 联邦养老金雇员
zh,Tax - Head Employee,税务 - 主管员工
zh,Tax - Occupational Privilege Employee,税务 - 职业特权雇员
zh,Tax - School District Employee,税务 - 学区雇员
zh,Tax - State Disability Insurance Employee,税务 - 州残障保险雇员
zh,Tax - State Income Withholding,税收 - 州收入预扣
zh,Tax - State Miscellaneous Employee,税务 - 国家杂项雇员
zh,Tax - State Pension Employee,税收 - 国家养老金雇员
zh,Tax - State Unemployment Insurance Employee,税收 - 国家失业保险雇员
zh,Tax - State Workers' Comp Insurance Employee,税收 - 国家工人补偿保险雇员
zh,Tax - Surtax Employee,税 - 附加税雇员
zh,Tax Due,应缴税款
zh,Tax Expense - Income,税费 - 收入
zh,Tax Expense - Other,税费 - 其他
zh,Tax Invoice,税务发票
zh,Tax Statement,税单
zh,Taxes and Licenses,税收和执照
zh,"Taxes, WC, etc",“税收、厕所等”
zh,Tell-A-Friend,告诉一个朋友
zh,Temperature,温度
zh,Template,模板
zh,"Template - Information (home, product, etc)",“模板 - 信息（家庭、产品等）”
zh,"Template - Interactive (checkout, profile, etc)",“模板 - 交互式（结帐、个人资料等）”
zh,Template Client Account Create,模板客户账户创建
zh,Template Client Account Page,模板客户账户页面
zh,Template Client Add Address,模板客户端添加地址
zh,Template Client Checkout,模板客户端结帐
zh,Template Client Checkout Header,模板客户端结帐标题
zh,Template Client Checkout Messages,模板客户端结帐消息
zh,Template Client Checkout Success,模板客户端结帐成功
zh,Template Client Contact Info,模板客户联系信息
zh,Template Client Login Page,模板客户端登录页面
zh,Template Client Menu Page,模板客户端菜单页面
zh,Template Client Order Detail,模板客户订单详情
zh,Template Client Order History,模板客户订单历史
zh,Template Client Product Image,模板客户产品图片
zh,Template Client Reset Password,模板客户端重置密码
zh,Template Location Invoice Print,模板位置发票打印
zh,Template Location Order Print,模板位置订单打印
zh,Template Location Shipment By Package,模板位置按包裹发货
zh,Template Location Shipment Insert,模板位置货件插入
zh,Template Location Shipment Pack Sheet,模板位置装运包表
zh,Template Location Shipment Pick Sheet,模板位置发货拣选表
zh,Template Server Category,模板服务器类别
zh,Template Server Content,模板服务器内容
zh,Template Server Error,模板服务器错误
zh,Template Server Footer,模板服务器页脚
zh,Template Server Header,模板服务器头
zh,Template Server Home,模板服务器主页
zh,Template Server Product,模板服务器产品
zh,Template Server Root,模板服务器根
zh,Template Server Search,模板服务器搜索
zh,Terms and Conditions,条款和条件
zh,Territory,领土
zh,Test,测试
zh,Test Order,测试订单
zh,Testimonials,感言
zh,Testing,测试
zh,Tests,测试
zh,Theme Preview Screenshot,主题预览截图
zh,Third Day,第三天
zh,Third Party,第三者
zh,Third-Party Holdings,第三方控股
zh,Threshold,临界点
zh,Thursday,周四
zh,Time Entry,时间输入
zh,Time Off,休息时间
zh,Time/Frequency,时间/频率
zh,Timely Original Return,及时原件退货
zh,Timesheet,时间表
zh,Tire Replacement,轮胎更换
zh,Tires Rotate,轮胎转动
zh,To Do,去做
zh,Top Secret (confidential access),绝密（机密访问）
zh,Top-off,充值
zh,Topic,话题
zh,Trace Number Error,跟踪号错误
zh,Tracking Label Number,跟踪标签编号
zh,Tractor,拖拉机
zh,Trade Show,贸易展览会
zh,Traditional 401K Employee,传统的 401K 员工
zh,Trailer,预告片
zh,Training,训练
zh,Transaction Details,交易明细
zh,Transfer,转移
zh,Transfer Shipment,转运货件
zh,Travel Air,旅行航空
zh,Travel Car Rental,旅游租车
zh,Travel Local/Parking/Tolls,当地旅游/停车/通行费
zh,Travel Lodging,旅游住宿
zh,Travel Meals/Entertainment,旅游餐饮/娱乐
zh,Travel Other,旅游 其他
